id_species,name_species,id_photo,slug,common_names_en,common_names_de,common_names_es,common_names_fr,scientific_name,taxonomy,id_category,tags
setophaga-palmarum,Palm Warbler,khm-20180521-1253-1526892783,palm-warbler,Palm Warbler,Palm-Waldsänger,Reinita palmera,Paruline à couronne rousse,Setophaga palmarum,Passeriformes|Parulidae,birds,"birds, warblers"
setophaga-petechia,American Yellow Warbler,khm-20190707-1652-1562503978,american-yellow-warbler,American Yellow Warbler,Gold-Waldsänger,Reinita amarilla,Paruline jaune,Setophaga petechia,Passeriformes|Parulidae,birds,"birds, warblers"
setophaga-ruticilla,American Redstart,khm-20140511-1941-1399822864,american-redstart,American Redstart,Schnäpperwaldsänger,"Candelita norteña, Pavito migratorio",Paruline flamboyante,Setophaga ruticilla,Passeriformes|Parulidae,birds,"birds, warblers"
setophaga-striata,Blackpoll Warbler,khm-20170527-1727-1495891639,blackpoll-warbler,Blackpoll Warbler,Streifenwaldsänger,Reinita estriada,Paruline rayée,Setophaga striata,Passeriformes|Parulidae,birds,"birds, warblers"
setophaga-tigrina,Cape May Warbler,khm-20180521-1132-1526887958,cape-may-warbler,Cape May Warbler,Tiger-Waldsänger,Reinita atigrada,Paruline tigrée,Setophaga tigrina,Passeriformes|Parulidae,birds,"birds, warblers"
sialia-sialis,Eastern Bluebird,khm-20170722-1203-1500710615,eastern-bluebird,Eastern Bluebird,Rotkehl-Hüttensänger,Azulejo gorjicanelo,Merlebleu de l'Est,Sialia sialis,Passeriformes|Turdidae,birds,"birds, bluebirds"
sitta-canadensis,Red-breasted Nuthatch,khm-20190217-1812-1550409150,red-breasted-nuthatch,Red-breasted Nuthatch,Kanadakleiber,Trepador canadiense,Sittelle à poitrine rousse,Sitta canadensis,Passeriformes|Sittidae,birds,"birds, nuthatches"
sitta-carolinensis,White-breasted Nuthatch,khm-20161211-1820-1481462403,white-breasted-nuthatch,White-breasted Nuthatch,Carolinakleiber,Trepador pechiblanco,Sittelle à poitrine blanche,Sitta carolinensis,Passeriformes|Sittidae,birds,"birds, nuthatches"
somateria-mollissima,Common Eider,khm-20180522-1153-1526975634,common-eider,Common Eider,Eiderente,Eider común,Eider à duvet,Somateria mollissima,Anseriformes|Anatidae,birds,"birds, ducks"
sphyrapicus-varius,Yellow-bellied Sapsucker,khm-20140412-2110-1397322654,yellow-bellied-sapsucker,Yellow-bellied Sapsucker,Gelbbauch-Saftlecker,Chupasavia norteño,Pic maculé,Sphyrapicus varius,Piciformes|Picidae,birds,"birds, woodpeckers"
spinus-tristis,American Goldfinch,khm-20140518-1816-1400422617,american-goldfinch,American Goldfinch,Goldzeisig,Jilguero americano,Chardonneret jaune,Spinus tristis,Passeriformes|Fringillidae,birds,"birds, finches"
